,fullName,position,origin,destination
463,Yamir Knight,WR,James Madison,SMU
464,TD Williams,CB,Central Arkansas,Purdue
467,Lardarius Webb Jr.,CB,South Alabama,Wake Forest
473,Nick Taylor,CB,App State,West Virginia
482,Isaiah Spencer,WR,Jackson State,Virginia Tech
490,Jack McCallister,P,Nebraska,Purdue
494,Enrique Cruz Jr.,OT,Syracuse,Kansas
495,Rahkeem Smith,WR,Bowling Green,Georgia Tech
499,JC Hart,CB,Auburn,Utah
503,Mo Omonode,DL,Purdue,Minnesota
504,Cameron Jones,OT,James Madison,Kentucky
507,Bryce George,OT,Ferris State,Iowa
511,Josh Burney,DL,Fort Valley State,Purdue
513,Logan Ramper,WR,Slippery Rock,West Virginia
516,Maurice Williams II,S,Houston,Arizona State
528,TreyShun Hurry,WR,San José State,Louisville
530,Dillon Tatum,S,Michigan State,Northwestern
534,Jordan Owens,TE,Oklahoma State,North Carolina
535,Gavin Edwards,S,Austin Peay,Maryland
543,Quaron Adams,WR,South Dakota,California
545,E'Lla Boykin,LB,Wilson,Boston College
548,Blake Thompson,S,Louisiana Tech,Houston
550,Drew Doyle,LS,Iowa State,Virginia Tech
557,Josh Horton,DL,Miami,Georgia
558,Rob Fogler,OT,Ball State,Kentucky
572,Colin Coates,DL,Charlotte,Mississippi State
574,Grayson Barnes,TE,Northern Illinois,West Virginia
575,Zion Ferguson,CB,North Carolina,Pittsburgh
577,Alessandro Lorenzetti,OT,Michigan,Baylor
578,Oluwaseyi Omotosho,EDGE,Oregon State,West Virginia
580,Makai Byerson,EDGE,West Virginia,Boston College
584,James Ash,DL,Florida A&M,Auburn
586,Aakil Washington,EDGE,South Alabama,SMU
587,Caldra Williford,CB,Tennessee Tech,Baylor
591,Karate Brenson,WR,Tennessee State,Wake Forest
595,Harrison Waylee,RB,Wyoming,Virginia
600,Banks Bowen,QB,Tulsa,Oklahoma State
602,Jesus Machado,LB,Tulane,Houston
604,Cash Cleveland,IOL,Colorado,Texas Tech
608,Hunter Barth,LB,California,Stanford
609,Bralen Henderson,DL,Ohio,Missouri
612,Devin Grant,EDGE,Incarnate Word,West Virginia
614,Zacharyus Williams,WR,Utah,USC
615,Akelo Stone,DL,Ole Miss,Georgia Tech
621,Tyrence Crutcher,CB,West Florida,West Virginia
623,Cam Williams,EDGE,Georgia State,Michigan State
