,season,firstName,lastName,position,origin,destination,transferDate,eligibility,rating,stars
55,2025,Nick,Reimer,OT,Bowling Green,Western Kentucky,2025-05-23 17:07:00+00:00,Immediate,0.82,3.0
56,2025,Dylan,Shaw,IOL,Texas Tech,North Texas,2025-04-29 12:46:00+00:00,Immediate,0.8,3.0
57,2025,Syeed,Gibbs,CB,Georgia Tech,Kansas,2025-04-25 00:20:00+00:00,Immediate,0.86,3.0
58,2025,Semaj,Parker,TE,Mississippi State,Kennesaw State,2025-05-05 05:00:00+00:00,Immediate,0.79,2.0
59,2025,Connor,Calvert,K,Washington State,Wake Forest,2025-04-21 15:01:00+00:00,Immediate,,
60,2025,Dennis,Palmer,RB,Bethune-Cookman,Troy,2025-05-05 13:10:00+00:00,Immediate,0.84,3.0
61,2025,Jahkai,Lang,EDGE,Missouri,SMU,2025-04-21 00:57:00+00:00,Immediate,0.87,3.0
62,2025,Kwon,McGinney,DL,Arkansas State,Georgia Southern,2025-04-23 20:14:00+00:00,Immediate,0.84,3.0
63,2025,Miguel,Cedeno,OT,Rice,Florida International,2025-05-19 15:34:00+00:00,Immediate,0.81,3.0
64,2025,Michael,Short,LB,North Carolina,Virginia Tech,2025-04-23 18:38:00+00:00,Immediate,0.86,3.0
65,2025,Evan,Taylor,CB,Nebraska,,2025-04-29 14:25:00+00:00,Immediate,,3.0
66,2025,Keyshawn,Jackson,CB,East Carolina,Chattanooga,2025-05-06 11:09:00+00:00,Immediate,,
67,2025,Joseph,Mupoyi,EDGE,Penn State,North Carolina,2025-04-22 14:01:00+00:00,Immediate,0.86,3.0
68,2025,Tyjai,Hopper,CB,James Madison,Oregon State,2025-04-20 22:52:00+00:00,Immediate,0.85,3.0
69,2025,Elias,Rudolph,EDGE,Miami,UNLV,2025-05-09 23:21:00+00:00,Immediate,0.86,3.0
70,2025,Jeffson,Lafontant,DL,Bethune-Cookman,UCF,2025-04-26 19:31:00+00:00,Immediate,0.85,3.0
71,2025,Keyon,Washington,CB,West Virginia,Bowling Green,2025-04-25 20:55:00+00:00,Immediate,0.83,3.0
72,2025,Emmett,Morehead,QB,Old Dominion,Minnesota,2025-04-25 20:44:00+00:00,Immediate,0.8,3.0
73,2025,Ty,Cooper,EDGE,Tulane,Tulsa,2025-04-21 17:34:00+00:00,Immediate,0.83,3.0
74,2025,Edwin,White Schultz,S,North Alabama,Keiser (Fl),2025-05-31 00:03:00+00:00,Immediate,0.85,3.0
75,2025,Jackson,Runyan,K,Navy,Trinity,2025-04-22 14:09:00+00:00,Immediate,,
76,2025,Omari,Abor,EDGE,SMU,CSU-Pueblo,2025-06-02 01:03:00+00:00,Immediate,,4.0
77,2025,Kalan,Ellis,IOL,Syracuse,San Diego State,2025-07-27 23:34:00+00:00,Immediate,,3.0
78,2025,Lorenzo,Smith,S,South Alabama,New Mexico State,2025-05-04 19:12:00+00:00,Immediate,0.82,3.0
79,2025,August,Salvati,EDGE,Florida Atlantic,San Diego State,2025-04-28 18:05:00+00:00,Immediate,0.83,3.0
80,2025,Hayden,George,TE,Nevada,Southern Utah,2025-05-08 15:21:00+00:00,Immediate,,3.0
81,2025,Marcus,Field,WR,Sam Houston,West Texas A&M,2025-04-26 02:32:00+00:00,Immediate,,3.0
82,2025,Justin,Pegues,RB,Bowling Green,North Alabama,2025-05-03 14:59:00+00:00,Immediate,,
83,2025,Harris,Boyd,QB,Memphis,Valdosta State,2025-05-19 22:59:00+00:00,Immediate,,2.0
84,2025,Luke,Marble,QB,Northern Illinois,South Dakota State,2025-04-26 16:11:00+00:00,Immediate,,2.0
85,2025,Izaiah,Guy,CB,Georgia State,South Florida,2025-04-27 20:56:00+00:00,Immediate,0.86,3.0
86,2025,Donnie,Gray,WR,Northwestern,Massachusetts,2025-04-22 22:04:00+00:00,Immediate,0.81,3.0
87,2025,Keionte,Scott,CB,Houston,Miami,2025-04-28 21:43:00+00:00,Immediate,0.86,3.0
88,2025,Emory,Floyd,S,South Carolina,App State,2025-04-27 18:08:00+00:00,Immediate,0.82,3.0
89,2025,Marvin,Smith,S,Alabama A&M,Western Michigan,2025-04-24 23:27:00+00:00,Immediate,0.84,3.0
90,2025,Keyan,Burnett,TE,Kansas,Arizona,2025-04-28 13:39:00+00:00,Immediate,0.89,3.0
91,2025,Brett,Griffis,QB,James Madison,Central Connecticut,2025-06-04 00:06:00+00:00,Immediate,,3.0
92,2025,Earl,Kulp,CB,Purdue,Temple,2025-05-07 02:11:00+00:00,Immediate,0.85,3.0
93,2025,Harrison,Taggart,LB,BYU,California,2025-04-19 21:30:00+00:00,Immediate,0.86,3.0
94,2025,Kyrik,Mason,OT,Kent State,UAB,2025-04-25 18:56:00+00:00,Immediate,0.83,3.0
95,2025,Garret,Rangel,QB,Oklahoma State,Virginia Tech,2025-04-24 00:41:00+00:00,Immediate,0.84,3.0
96,2025,Orion,Irving,OT,Sam Houston,Vanderbilt,2025-05-01 22:26:00+00:00,Immediate,0.85,3.0
97,2025,Da'Marcus,Crosby,S,New Mexico State,Virginia,2025-04-23 17:51:00+00:00,Immediate,0.86,3.0
98,2025,Mike,Matthews,WR,Tennessee,,2024-12-29 06:00:00+00:00,Immediate,0.92,4.0
99,2025,Luke,Dunne,P,Oregon,Washington,2025-04-26 01:44:00+00:00,Immediate,,
100,2025,Jay,Gardenhire,OT,Colorado,,2025-04-19 14:47:00+00:00,Immediate,,3.0
101,2025,Will,Karoll,P,Tulane,UCLA,2025-05-05 20:37:00+00:00,Immediate,,
102,2025,Stephen,Daley,EDGE,Kent State,Indiana,2025-04-20 15:45:00+00:00,Immediate,0.86,3.0
103,2025,Kade,Millard,LB,San José State,,2025-04-23 00:04:00+00:00,Immediate,,3.0
104,2025,Korion,Sharpe,IOL,North Carolina A&T,,2025-06-08 05:04:02+00:00,Withdrawn,,
105,2025,Brian,Pierce,WR,San Diego State,,2025-04-23 17:57:00+00:00,Immediate,,
106,2025,Silas,Corder,QB,Southern Miss,Southwest Mississippi C.C.,2025-06-05 23:46:00+00:00,Immediate,0.82,3.0
107,2025,Luby,Maurice,WR,Florida International,,2025-04-25 18:45:00+00:00,Immediate,,3.0
108,2025,Kendrick,Raphael,RB,NC State,California,2025-04-27 01:04:00+00:00,Immediate,0.87,3.0
109,2025,Talan,Chandler,IOL,Missouri,Northwestern,2025-04-26 02:09:00+00:00,Immediate,0.84,3.0
110,2025,Andrew,Simpson,LB,Boise State,North Carolina,2025-05-14 18:16:00+00:00,Immediate,0.86,3.0
111,2025,Aaron,Hester,EDGE,Florida State,Liberty,2025-04-21 23:03:00+00:00,Immediate,0.84,3.0
112,2025,Chase,Schutty,TE,Northern Illinois,Drake,2025-05-22 03:17:00+00:00,Immediate,,2.0
113,2025,Jake,Yurachek,LB,Arkansas,,2024-12-29 16:21:00+00:00,Immediate,,2.0
114,2025,Isaiah,Hankins,K,Baylor,Colorado State,2025-07-27 14:07:00+00:00,Immediate,,
115,2025,Curtis,Douglas,RB,Kent State,Fort Hays State,2025-05-20 02:18:00+00:00,Immediate,,3.0
116,2025,Max,Balthazar,RB,Coastal Carolina,Rice,2025-04-26 16:18:00+00:00,Immediate,0.83,3.0
117,2025,Hudson,Miller,LB,Purdue,Toledo,2025-04-30 16:30:00+00:00,Immediate,0.8,3.0
118,2025,Nathan,Knapik,OT,Idaho,Illinois,2025-04-26 18:26:00+00:00,Immediate,0.85,3.0
119,2025,Reese,Clark,TE,Temple,Delaware State,2025-06-08 22:39:00+00:00,Immediate,,3.0
120,2025,Eddie,Kelly Jr.,DL,Missouri,West Virginia,2025-04-20 21:35:00+00:00,Immediate,0.89,3.0
121,2025,Qua,Birdsong,CB,UCF,East Tennessee State,2025-04-23 15:41:00+00:00,Immediate,,4.0
122,2025,Quincy,Wright,DL,North Texas,Arkansas State,2025-04-22 22:29:00+00:00,Immediate,0.82,3.0
123,2025,AJ,Vaipulu,IOL,New Mexico State,Washington State,2025-04-22 01:05:00+00:00,Immediate,0.86,3.0
124,2025,Adrian,Onyiego,EDGE,Wyoming,Navarro College,2025-04-24 22:32:00+00:00,Immediate,,
125,2025,Jeremiah,Vessel,S,UNLV,UAB,2025-04-26 02:32:00+00:00,Immediate,0.84,3.0
126,2025,Brendan,Sullivan,QB,Iowa,Tulane,2025-04-24 15:05:00+00:00,Immediate,0.85,3.0
127,2025,Gabe,Winowich,RB,Rutgers,Rhode Island,2025-07-11 05:00:00+00:00,Immediate,,4.0
128,2025,Kamron,Frye,OT,William & Mary,,2025-06-08 05:05:57+00:00,Withdrawn,,
129,2025,Tayvion,Beasley,S,San Diego State,BYU,2025-04-28 13:31:00+00:00,Immediate,0.82,3.0
130,2025,Zavier,Carter,LB,UCF,Georgia State,2025-06-09 23:04:42+00:00,Immediate,,4.0
131,2025,C.J.,Van Buren,IOL,Arkansas-Pine Bluff,Temple,2025-04-25 23:47:00+00:00,Immediate,,
132,2025,Montreze,Smith Jr.,LB,Western Kentucky,Austin Peay,2025-04-25 00:19:00+00:00,Immediate,0.84,3.0
133,2025,Cameron,Warchuck,LS,Washington,,2025-04-16 16:56:00+00:00,Immediate,,
134,2025,Sinn,Brennan,EDGE,Ohio,,2025-04-16 16:47:00+00:00,Immediate,,3.0
135,2025,Chase,Harrison,QB,Ball State,,2025-04-23 21:02:00+00:00,Immediate,,3.0
136,2025,Kenton,Allen,LB,Angelo State,North Texas,2025-04-27 00:31:00+00:00,Immediate,0.83,3.0
137,2025,Corey,Smith,WR,Tulsa,Purdue,2025-04-18 18:27:00+00:00,Immediate,0.86,3.0
138,2025,Jacob,Robinson,S,Emory & Henry College,Coastal Carolina,2025-05-07 05:09:00+00:00,Immediate,0.86,3.0
139,2025,Waltclaire,Flynn Jr.,IOL,UCF,Georgia,2025-04-26 15:12:00+00:00,Immediate,0.86,3.0
140,2025,Jalon,Williams,CB,Boston College,Austin Peay,2025-04-29 17:45:11+00:00,Immediate,,3.0
141,2025,Cameron,Estep,QB,App State,UNC-Pembroke,2025-04-30 21:42:00+00:00,Immediate,,
142,2025,Deity,Deablo,EDGE,Georgia State,Fayetteville State,2025-07-21 00:11:00+00:00,Immediate,,3.0
143,2025,Garfield,Lawrence,DL,Houston,Texas Southern,2025-05-10 21:05:00+00:00,Immediate,,3.0
144,2025,Darius,Thomas,LB,Louisville,Oklahoma State,2025-04-22 22:23:00+00:00,Immediate,0.87,3.0
145,2025,Bob,Schick,IOL,Virginia Tech,Oklahoma State,2025-04-23 18:24:00+00:00,Immediate,0.85,3.0
146,2025,Adonis,Jackson,EDGE,Southern Oregon,Mississippi Valley State,2025-05-01 05:00:00+00:00,Immediate,,
147,2025,Porter,Small,EDGE,BYU,Weber State,2025-04-25 23:16:00+00:00,Immediate,,3.0
