target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards,position,origin,destination
Keyan Burnett,31,4.04,0.1303,16,0.5161,9,0.2903,2.1897,-0.7121,18,217,TE,Kansas,Arizona
Preston Howard,30,2.004,0.0668,16,0.5333,10,0.3333,1.6812,-0.7404,24,188,TE,Maryland,Auburn
Jaron Glover,29,16.272,0.5611,16,0.5517,12,0.4138,2.2484,-0.6299,16,205,WR,Michigan State,Mississippi State
Hykeem Williams,29,0.763,0.0263,11,0.3793,7,0.2414,2.333,-0.7076,16,181,WR,Florida State,Colorado
Jayden Thomas,28,1.173,0.0419,14,0.5,6,0.2143,1.8905,-0.4623,18,160,WR,Notre Dame,Virginia
Javian Hester,28,5.634,0.2012,11,0.3929,8,0.2857,3.4092,-1.082,14,315,WR,Oklahoma,Kentucky
Aziah Johnson,27,12.415,0.4598,15,0.5556,10,0.3704,2.6825,-0.8476,18,303,WR,Michigan State,North Carolina
Tre Spivey,24,7.821,0.3259,12,0.5,9,0.375,2.0882,-0.7315,15,163,WR,Kansas State,Arizona
Tiger Bachmeier,24,-7.704,-0.321,10,0.4167,6,0.25,1.8047,-1.0296,10,67,WR,Stanford,BYU
Jaylen Lloyd,23,17.305,0.7524,13,0.5652,12,0.5217,2.3622,-1.0037,13,255,WR,Nebraska,Oklahoma State
Tobias Merriweather,21,-0.608,-0.029,9,0.4286,6,0.2857,2.0645,-0.8663,11,125,WR,California,Utah
Sterling Berkhalter,20,14.351,0.7175,14,0.7,9,0.45,1.8842,-0.237,13,216,WR,Cincinnati,Wake Forest
Holden Staes,20,16.287,0.8143,13,0.65,9,0.45,2.165,-0.2907,15,131,TE,Tennessee,Indiana
Cataurus Hicks,20,-0.124,-0.0062,7,0.35,5,0.25,2.2004,-0.7417,13,175,WR,Louisville,Pittsburgh
Marcus Burke,19,-7.784,-0.4097,5,0.2632,4,0.2105,2.1098,-1.0815,7,69,WR,Florida,UCF
Kobe Prentice,19,9.003,0.4738,11,0.5789,7,0.3684,1.784,-0.2904,12,182,WR,Alabama,Baylor
Harry Lodge,19,-4.591,-0.2416,9,0.4737,6,0.3158,1.4078,-1.0029,13,113,TE,Georgia Tech,Wake Forest
Drew Biber,18,-4.469,-0.2483,11,0.6111,3,0.1667,2.03,-0.7039,14,125,TE,Purdue,Minnesota
Josiah Martin,18,2.923,0.1624,8,0.4444,6,0.3333,2.4008,-0.9568,12,112,WR,California,Oklahoma
Shamar Rigby,18,-2.002,-0.1112,8,0.4444,6,0.3333,2.0185,-1.1761,11,113,WR,Purdue,Oklahoma State
Jonah Wilson,18,-5.468,-0.3038,7,0.3889,3,0.1667,1.2557,-0.6157,9,58,WR,Houston,Texas A&M
Jamari Johnson,18,11.561,0.6423,12,0.6667,10,0.5556,1.6033,-0.559,14,190,TE,Louisville,Oregon
Hardley Gilmore IV,17,-7.495,-0.4409,6,0.3529,5,0.2941,2.4706,-1.654,7,164,WR,Nebraska,Kentucky
Jalen Brown,16,-10.996,-0.6872,5,0.3125,4,0.25,2.39,-1.713,9,89,WR,Florida State,Arkansas
