target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Max Klare,77,20.278,0.2634,40,0.5195,34,0.4416,2.2078,-1.2741,54,728
Bryant Wesco Jr.,77,29.266,0.3801,37,0.4805,27,0.3506,2.5829,-0.8094,41,707
Kenny Johnson,77,18.975,0.2464,43,0.5584,32,0.4156,2.0664,-1.0478,47,540
Noah Thomas,77,17.066,0.2216,36,0.4675,25,0.3247,2.2178,-0.7381,39,574
Jake Briningstool,76,29.954,0.3941,43,0.5658,22,0.2895,2.1668,-0.3281,50,538
Zachariah Branch,76,-16.008,-0.2106,36,0.4737,22,0.2895,1.8581,-1.0535,48,505
Emmett Mosley V,75,11.061,0.1475,37,0.4933,25,0.3333,2.162,-0.8598,50,541
Elijah Spencer,74,44.345,0.5993,51,0.6892,36,0.4865,1.8518,-0.5874,52,684
Gunnar Helm,74,55.645,0.752,50,0.6757,33,0.4459,2.1517,-0.3746,60,786
Desmond Reid,74,29.8,0.4027,38,0.5135,29,0.3919,2.2956,-0.8172,52,586
Evan Stewart,73,29.278,0.4011,37,0.5068,23,0.3151,2.3982,-0.5176,49,647
Bryce Kirtz,73,15.263,0.2091,33,0.4521,21,0.2877,2.3579,-0.6587,40,613
Will Sheppard,72,19.652,0.2729,41,0.5694,24,0.3333,2.0631,-0.6221,48,620
Isaiah Neyor,72,-0.184,-0.0026,31,0.4306,22,0.3056,2.3118,-1.0209,36,465
Ja'Kobi Lane,72,37.975,0.5274,43,0.5972,32,0.4444,2.1928,-0.8049,44,534
Jordan Watkins,71,63.404,0.893,44,0.6197,26,0.3662,3.0172,-0.3343,51,929
Beaux Collins,70,3.047,0.0435,36,0.5143,21,0.3,1.8371,-0.7251,43,506
Terrance Ferguson,70,31.578,0.4511,37,0.5286,29,0.4143,2.0402,-0.6729,46,611
Hal Presley,70,10.58,0.1511,32,0.4571,23,0.3286,2.0429,-0.7746,32,441
Tony Johnson,70,23.514,0.3359,38,0.5429,29,0.4143,1.8627,-0.744,48,448
Eli Stowers,70,43.938,0.6277,43,0.6143,34,0.4857,2.0037,-0.6719,52,677
Carnell Tate,69,47.263,0.685,48,0.6957,27,0.3913,2.0869,-0.2163,52,733
J.J. Jones,69,19.253,0.279,32,0.4638,26,0.3768,2.3517,-0.9742,40,651
Makai Lemon,68,41.329,0.6078,43,0.6324,30,0.4412,2.2717,-0.7059,52,764
Nick Marsh,68,39.428,0.5798,38,0.5588,23,0.3382,2.635,-0.4706,42,657
Bru McCoy,68,-5.752,-0.0846,35,0.5147,18,0.2647,1.9381,-0.8128,40,478
Chimere Dike,67,23.964,0.3577,36,0.5373,29,0.4328,2.1777,-1.0313,42,783
Nyziah Hunter,66,43.959,0.666,42,0.6364,32,0.4848,1.9493,-0.5417,43,589
Ashtyn Hawkins,66,26.901,0.4076,38,0.5758,27,0.4091,1.8488,-0.5902,43,564
Deuce Alexander,66,14.414,0.2184,34,0.5152,23,0.3485,1.8634,-0.6615,36,400
Jordan Hudson,66,2.994,0.0454,28,0.4242,17,0.2576,1.8665,-0.5864,40,425
Chris Bell,66,44.884,0.6801,39,0.5909,31,0.4697,2.2348,-0.697,46,770
Kyron Hudson,65,1.124,0.0173,33,0.5077,24,0.3692,1.9345,-1.105,39,464
Jack Endries,65,61.706,0.9493,50,0.7692,32,0.4923,2.0558,-0.1236,59,641
Da'Quan Felton,65,3.268,0.0503,25,0.3846,15,0.2308,2.0772,-0.5578,32,360
Darius Taylor,64,9.233,0.1443,33,0.5156,21,0.3281,1.7269,-0.6287,56,357
Kole Taylor,63,9.62,0.1527,33,0.5238,23,0.3651,1.9159,-0.8611,45,454
Elijhah Badger,63,30.008,0.4763,37,0.5873,30,0.4762,2.1742,-1.0672,40,815
Antwane Wells Jr.,62,8.248,0.133,28,0.4516,19,0.3065,2.2344,-0.7955,29,563
